iso_code,country,avg_co2_per_capita,mean_gdp_growth,gdp_growth_volatility,avg_gdp_per_capita,baseline_gdp_pc
AFG,Afghanistan,0.20095204830434782,0.05589067518827959,0.15652120319365775,1457.9275865217392,502.37274
AGO,Angola,0.8554607430434783,0.056252549549741904,0.10052993716135022,5981.928213043478,2013.6362
ALB,Albania,1.5451545217391303,0.046594132021450484,0.030575457565741992,9011.326586956522,4808.4795
ARE,United Arab Emirates,24.830990956521738,0.02197337835831208,0.045752544461873414,65853.33773913044,48888.03
ARG,Argentina,4.153707152173913,0.013105194979873003,0.06568500150364164,17215.667217391307,14368.942
ARM,Armenia,1.7334267304347828,0.04825071949736712,0.06691177325958711,9272.341447826086,5139.8257
AUS,Australia,17.546130739130437,0.016250700111488284,0.015870086646514375,45235.72917391304,36603.047
AUT,Austria,8.243647682608696,0.010805801576583491,0.024777457423300366,40000.1292173913,34796.258
AZE,Azerbaijan,3.5695754695652178,0.07144534144861506,0.09947656829062744,13201.95992173913,4214.8887
BDI,Burundi,0.03789041769565217,-0.0011447257979888144,0.023028984904963617,718.6312756521738,739.7609
BEL,Belgium,10.1185943,0.01012177444618061,0.02188042854771861,37894.98730434782,33719.77
BEN,Benin,0.39452794304347827,0.012110514847275246,0.02044578785047205,2019.5823826086958,1908.9366
BFA,Burkina Faso,0.15877372799999998,0.01345068025892286,0.01903371199707288,1419.2453739130435,1275.4819
BGD,Bangladesh,0.38897543956521735,0.056031888736363,0.0076854052059053815,2905.487091304348,1485.3092
BGR,Bulgaria,6.401831239130435,0.042091439875679766,0.03445625034331473,14641.01504347826,8410.795
BHR,Bahrain,24.660423173913046,0.038725401965432935,0.039924402090170515,31936.78495652174,17021.723
BIH,Bosnia and Herzegovina,5.1891748,0.02511617817981112,0.025511386337737564,9208.772086956522,7082.035
BLR,Belarus,6.258599139130435,0.034053964236400544,0.04236657203222736,15825.827673913043,9110.9795
BOL,Bolivia,1.531756952173913,0.02065247153312749,0.029848576700514155,5384.272156521739,4173.5493
BRA,Brazil,2.2379518652173913,0.018757900668990826,0.03280355802881392,13111.10856521739,9834.425
BRB,Barbados,5.207373504347826,-0.0031113231148905355,0.04187037609468997,11994.458282608695,12600.022
BWA,Botswana,2.5103134,0.03424686806318022,0.055444109583326746,12549.255682608695,8044.142
CAF,Central African Republic,0.04186984330434782,-0.017019587457678318,0.08519565418699535,768.7941039130435,963.94617
CAN,Canada,16.329899130434782,0.009785049030999228,0.02221728214110196,41895.558913043475,36942.562
CHE,Switzerland,5.2454876347826085,0.017681157752902358,0.020689552563698695,55583.031130434785,43251.105
CHL,Chile,4.153715304347826,0.01901530639267448,0.03467100686079483,19355.545782608697,15211.623
CHN,China,5.975375973913043,0.06602917403894543,0.02024096342853307,10915.567039130436,4730.3545
CIV,Cote d'Ivoire,0.3713212256521739,0.02502082231312192,0.031715785617539315,2856.2223173913044,2352.8564
CMR,Cameroon,0.37951210304347827,0.016588655486759665,0.012017380751774784,2474.9173130434783,1961.0879
COD,Democratic Republic of Congo,0.04105080308695652,0.03333056976044027,0.029935005447455282,646.3441191304348,414.04694
COG,Congo,1.154792793478261,0.0017682433457272273,0.054645113157194614,5029.4943130434785,4159.2227
COL,Colombia,1.6659290913043479,0.02507773828561263,0.034949320942700875,11470.805695652174,8496.792
COM,Comoros,0.2903148365217391,0.02120905879458681,0.02396803327701195,1530.1520565217393,1204.4023
CPV,Cape Verde,0.9951373278260869,0.03447198721595171,0.06658126182179595,5700.010595652174,3583.587
CRI,Costa Rica,1.5779703391304347,0.023695717174970952,0.025664042442072255,12334.502652173913,9319.767
CUB,Cuba,2.3227147434782607,0.030671017419649924,0.04299757226178135,6446.053891304347,4009.3398
CYP,Cyprus,6.635545282608695,0.016480826108056613,0.03753850658477292,26757.39443478261,22326.799
CZE,Czechia,10.926635195652175,0.02991216335235171,0.033669900163189576,25840.277782608693,17056.16
DEU,Germany,9.882082065217391,0.015626375279019757,0.024290806487532995,41201.56926086957,33367.285
DJI,Djibouti,0.4627999073913044,0.03058504409360416,0.027249903014499966,2666.9010173913043,1880.9988
DMA,Dominica,2.232503004347826,0.022023934608673756,0.057308070550720326,8071.398821739131,5696.955
DNK,Denmark,7.992230804347826,0.012156982783810187,0.02013375283164853,44150.436347826086,39021.176
DOM,Dominican Republic,2.2194232130434783,0.04537599382360507,0.04173932831892975,11719.606308695653,6788.084
DZA,Algeria,3.4833749043478264,0.03210092959266266,0.03739914629461221,11790.249769565216,6834.5537
ECU,Ecuador,2.235552095652174,0.018085918361575904,0.0340821740943679,9353.121930434781,6908.243
EGY,Egypt,2.1888904260869566,0.032296688143429765,0.021969749048029494,10098.095660869565,6593.5317
ESP,Spain,6.441513939130434,0.011387239050575492,0.03693226123321199,31504.84230434783,26994.86
EST,Estonia,12.15502724347826,0.02831696723362134,0.05516041497969122,23732.773304347826,16806.975
ETH,Ethiopia,0.09582958613043478,0.05106778753559125,0.02920374766016877,1337.8244617391304,771.7315
FIN,Finland,10.076167717391304,0.010414530186641801,0.028621366320973198,37525.067217391304,32689.77
FRA,France,5.7448231869565225,0.007463820336164248,0.025997588230478912,36428.81286956522,33409.68
GAB,Gabon,3.313663665217391,0.0185764172490654,0.03800814241115647,14536.98695652174,10637.8
GBR,United Kingdom,7.550106065217392,0.009008474322648542,0.0347606942833874,35845.120130434785,31946.037
GEO,Georgia,1.9350447239130433,0.051112186993223056,0.04489063390761839,9163.046408695653,4891.664
GHA,Ghana,0.415588367826087,0.032822443689378984,0.027684464486942312,3159.8891173913044,2100.293
GIN,Guinea,0.23214266695652175,0.02556183890720807,0.028069340851736034,1377.4299869565218,1046.567
GMB,Gambia,0.22912623000000001,0.015704022502612717,0.030605641064129805,1703.561495652174,1440.8619
GNB,Guinea-Bissau,0.08384129660869565,0.012984702062851421,0.02336131721855894,1360.1258913043478,1230.6406
GNQ,Equatorial Guinea,4.818659813043478,0.036784999743297575,0.1671620263212088,33369.39595652174,12914.852
GRC,Greece,8.215522552173912,0.009726316208690274,0.04945032808840586,24359.65591304348,20965.332
GTM,Guatemala,0.9076831330434783,0.014233295744112777,0.01851729343622334,6746.138830434783,5860.272
HKG,Hong Kong,5.719111482608696,0.018199747880794596,0.035451664975539726,43011.443478260866,32894.01
HND,Honduras,1.0062366030434782,0.020958298000262575,0.037829662778963206,4343.100830434783,3335.7153
HRV,Croatia,4.791799960869565,0.03401891675329007,0.04937034121302263,19605.747304347828,13244.541
HTI,Haiti,0.23284092782608695,0.0011007479065111721,0.026660837052527003,1608.1750652173912,1520.7292
HUN,Hungary,5.258842239130435,0.037929473504058696,0.03325302215038066,21079.438000000002,13129.273
IDN,Indonesia,1.865570008695652,0.04030502763283352,0.017986436623046727,8891.285452173912,5384.3867
IND,India,1.4190750413043478,0.04876858545432153,0.03230549765984797,4952.992760869565,2753.0854
IRL,Ireland,9.39073532173913,0.020922771055759567,0.03859737376327472,50465.31495652174,38806.5
IRN,Iran,7.256737078260869,0.033600164171820164,0.04435257956278587,15576.380652173913,9104.763
IRQ,Iraq,3.8857895782608693,0.0685353697764891,0.1482684238604279,9835.528426086956,3649.493
ISL,Iceland,10.500746173913043,0.01176882783008311,0.038968288897616464,38505.037391304344,33108.29
ISR,Israel,8.388937704347827,0.015914121704607244,0.024868866948790667,29441.339478260867,26058.84
ITA,Italy,6.983112599999999,0.005139270624263685,0.032112388957344314,34449.47391304348,32716.98
JAM,Jamaica,3.2907960304347825,0.00662041887471293,0.029330304146475927,7149.252386956521,6531.2847
JOR,Jordan,2.782692547826087,0.009270744522879026,0.043622407306479295,9772.304465217392,7621.841
JPN,Japan,9.521715869565217,0.0066706150723279374,0.020645351321536342,35785.362869565215,33210.81
KAZ,Kazakhstan,13.72633456521739,0.0495068765325298,0.04256692161626527,19857.872195652173,9309.42
KEN,Kenya,0.2963531339130435,0.02673042454991218,0.022528961831577342,2618.5225608695655,1914.8864
KGZ,Kyrgyzstan,1.3400091304347825,0.023330620224406518,0.03972433215422029,4267.924495652173,3246.383
KHM,Cambodia,0.5036725886956522,0.040596329941075496,0.03088924907158543,2744.3043782608693,1659.0891
KOR,South Korea,11.49302652173913,0.026887559550958184,0.015906514213664843,32234.323043478256,23108.018
KWT,Kuwait,27.269674130434783,0.034535842410550445,0.07620476057258208,66895.94513043477,35844.746
LAO,Laos,1.117343424347826,0.05430609781702596,0.03316758318594623,4535.432447826087,2262.2356
LBN,Lebanon,3.8013857521739127,0.01835309275147828,0.07825591109153684,11867.0444,7405.707
LBR,Liberia,0.16052745504347826,-0.002116731422480039,0.1046440867383682,863.2498926086956,971.93304
LBY,Libya,8.950168052173913,0.049938187709433264,0.2883571940984122,17013.540826086955,9770.98
LCA,Saint Lucia,2.6174669739130434,0.02018032039362343,0.07603081715540123,9384.40022173913,7191.275
